Période,Kalman_Smooth_1,Kalman_Smooth_2
2010-05-01,8.154324922640098,52.649352422874216
2010-06-01,8.15015965423087,52.65166543058849
2010-07-01,8.287207775334544,53.46195916484072
2010-08-01,8.280595562314915,53.36136848466689
2010-09-01,8.42502898768136,54.21970528681198
2010-10-01,8.5368619956426,54.991849011053226
2010-11-01,8.644858165032838,55.76612061234037
2010-12-01,8.815778206593167,56.9747082285883
2011-01-01,8.993808486223806,58.127224094574416
2011-02-01,9.093422493210108,58.85401336454475
2011-03-01,9.340096140309988,60.541940543942566
2011-04-01,9.533152763821757,61.94678711674016
2011-05-01,9.573666847877945,61.976477694436944
2011-06-01,9.631041740297965,62.46600061157764
2011-07-01,9.632044112605064,62.41332127783328
2011-08-01,9.811158888688968,63.4609681240145
2011-09-01,9.985762750951329,64.51112084871954
2011-10-01,10.139477258336335,65.67711507492288
2011-11-01,10.376695986374237,67.31814959673612
2011-12-01,10.513905609638629,68.23263035360704
2012-01-01,10.634583434333265,69.05200273060986
2012-02-01,10.707276128020505,69.4287862371193
2012-03-01,10.95106381193246,71.01404327251012
2012-04-01,11.04013696142851,71.59027025888011
2012-05-01,10.981522679340944,71.20570223363774
2012-06-01,11.039273217906922,71.5386192024902
2012-07-01,11.037516546951094,71.38320731555433
2012-08-01,11.306863865016775,72.95429714907402
2012-09-01,11.345951395058998,73.4018345035884
2012-10-01,11.469725412539558,74.2194853387347
2012-11-01,11.427393664998274,73.93015970425601
2012-12-01,11.514619224138265,74.40314127913098
2013-01-01,11.55523672081499,74.74555609007885
2013-02-01,11.514334448512827,74.45543927538864
2013-03-01,11.706277435982589,75.60023069728614
2013-04-01,11.62820224854814,74.91365830158522
2013-05-01,11.635975653602092,75.01361533792375
2013-06-01,11.744910609396822,75.9437545039539
2013-07-01,11.800166799147242,76.38232751669906
2013-08-01,11.876217639896845,76.96577006638297
2013-09-01,11.973778400335496,77.58941876847285
2013-10-01,11.867999686997434,76.91819719563493
2013-11-01,11.95312622652816,77.34020997776916
2013-12-01,12.04557016438067,78.0188278247438
2014-01-01,12.007258710451216,77.88367119786217
2014-02-01,12.178369600761732,78.83148185356617
2014-03-01,12.112443037353499,78.3988338618742
2014-04-01,12.107262088571444,78.2974392626373
2014-05-01,12.107724870502343,78.2971818283339
2014-06-01,12.110760803741906,78.19123749903918
2014-07-01,12.171715127386088,78.47025105241178
2014-08-01,12.213265673860228,78.76001716206073
2014-09-01,12.209557565145058,78.65780981421463
2014-10-01,12.19975606495083,78.61110836134772
2014-11-01,12.177022650244863,78.46730815011287
2014-12-01,12.145179193822091,77.96362523950961
2015-01-01,11.81845391140878,75.79876147051255
2015-02-01,12.191232747147044,78.09450008460823
2015-03-01,12.250729944588382,78.47859800038596
2015-04-01,12.331092090675854,79.00751906525427
2015-05-01,12.389272567658265,79.5487292301288
2015-06-01,12.349143583214543,79.41457293000856
2015-07-01,12.310119736889742,79.17553765386863
2015-08-01,12.295725605550992,78.97498458891512
2015-09-01,12.257390611355367,78.68343823869004
2015-10-01,12.317883239371202,79.01483549598092
2015-11-01,12.254159481675469,78.73736101217982
2015-12-01,12.309509972876228,79.07159766291932
2016-01-01,11.976359005766508,76.80602685777905
2016-02-01,12.090634525113797,77.42040456919104
2016-03-01,12.163178260425545,77.90152614491551
2016-04-01,12.204664307210857,78.13920415733173
2016-05-01,12.384105883725628,79.39519719564983
2016-06-01,12.518580349475673,80.2590552299021
2016-07-01,12.51484960577339,80.15686288064566
2016-08-01,12.505860900848788,80.00545075796025
2016-09-01,12.57160030613299,80.49033903642469
2016-10-01,12.596345628766285,80.73729018783665
2016-11-01,12.67033322589848,81.26974432755958
2016-12-01,12.784543199671804,82.09270163213051
2017-01-01,12.91240391584647,83.01235638456653
2017-02-01,12.94512604504674,83.35915133632655
2017-03-01,12.995679216229867,83.59179918710909
2017-04-01,13.040794594843234,83.87958738002975
2017-05-01,12.980551846247199,83.33952436002455
2017-06-01,13.012834196692056,83.53015885430483
2017-07-01,12.98507984447031,83.44128076955698
2017-08-01,13.128541449513111,84.30015688504763
2017-09-01,13.27622084489743,85.20883131939995
2017-10-01,13.375003661348533,85.93607625760205
2017-11-01,13.529074037514276,86.89334161906824
2017-12-01,13.693002233300366,87.89727922657207
2018-01-01,13.871877603506025,89.30997967598192
2018-02-01,13.8375204805839,89.12050963875264
2018-03-01,14.179502982260823,91.2247984591173
2018-04-01,14.261950617515991,91.8568407103695
2018-05-01,14.474085599793298,93.30324191979726
2018-06-01,14.508539584740664,93.44055673062174
2018-07-01,14.655184130908404,94.4019326724574
2018-08-01,14.76238681011646,95.12451158510704
2018-09-01,14.881092918426914,95.99710953640115
2018-10-01,15.01310630037227,96.81019450152364
2018-11-01,14.895437865665935,96.09342742499884
2018-12-01,14.87115373155,95.84621899893267
2019-01-01,14.782794914561542,95.21747077990187
2019-02-01,14.832319367631879,95.50282062345423
2019-03-01,15.036003053118073,96.79751486616428
2019-04-01,15.257648562853289,98.23864752885764
2019-05-01,15.240587292549167,98.03958839323755
2019-06-01,15.409875328161615,99.19693919385146
2019-07-01,15.460349107159155,99.4296374182652
2019-08-01,15.576390934629533,100.14731226535407
2019-09-01,15.647530383402442,100.57707982969659
2019-10-01,15.643166101928278,100.63163466367048
2019-11-01,15.69885308078326,101.12210429485266
2019-12-01,16.013975103516515,103.2934077478369
2020-01-01,15.964247131183983,102.90391851229842
2020-02-01,15.893530265938654,102.26538140664698
2020-03-01,15.411049931046005,100.23894606751097
2020-04-01,15.232068905744937,99.81680136091113
2020-05-01,15.313453294822377,99.98022803377069
2020-06-01,15.429540882754697,100.1765722771873
2020-07-01,15.945140608984104,103.01874761572795
2020-08-01,15.643132401806108,101.04871906160638
2020-09-01,15.661579646266702,101.03848649698645
2020-10-01,15.665707283609516,101.03620630174753
2020-11-01,15.86386575118817,102.43822331469936
2020-12-01,16.054384669024785,103.68809084124258
2021-01-01,16.425204437846485,105.93279323175291
2021-02-01,16.206816361947585,104.85479895058168
2021-03-01,16.35162654208076,105.7129182499809
2021-04-01,16.346383531020525,105.76796613760564
2021-05-01,16.530547680702327,107.0213392032313
2021-06-01,16.603722343112874,107.5021185297614
2021-07-01,16.77893626408743,108.55193214809837
2021-08-01,17.01522881733608,110.08922196996252
2021-09-01,17.30930097212726,112.16794507970495
2021-10-01,17.638563471576404,114.3314349290469
2021-11-01,17.99562042640304,116.74017598346141
2021-12-01,18.192262102104912,118.03879046707662
2022-01-01,18.622023837092467,120.87642797296432
2022-02-01,18.918391738665957,123.11029682359228
